CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,PREP_MENSUAL
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,10,60
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,11,93
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1985,12,81
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,1,156
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,2,82.2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,3,144.2
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,4,11
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,8,5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1986,12,60.9
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,1,103.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,2,22
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,3,1
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,4,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,7,20
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,10,26
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,11,8
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1987,12,0.5
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,1,136
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,2,3
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,3,64
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,4,49
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,5,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,6,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,7,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,8,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,9,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,10,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,11,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1988,12,0
1000005,VISVIRI,1,173542,692836,449416,8054572,4080,1989,1,114
