CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,TEMP_MEDIA_MENSUAL,Unidad
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,3,5.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,4,4.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,5,2.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,6,1.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,7,1.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,8,4.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,9,4.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,10,4.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,11,5.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1988,12,6.1,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,1,5.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,2,5.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,3,5.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,4,3.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,5,2.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,6,1.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,7,0.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1989,8,2.1,°C
